comparison,scenario_category,A,B,tie,n,A_win_rate,B_win_rate,tie_rate,weighted_overall_A_mean,weighted_overall_B_mean
AROUSAL_ONLY:PHYSIO,emotion_dominant,59,101,250,410,0.14390243902439023,0.24634146341463414,0.6097560975609756,0.4666463414634146,0.5333536585365853
AROUSAL_ONLY:PHYSIO,hybrid_emotion_task,88,45,157,290,0.30344827586206896,0.15517241379310345,0.5413793103448276,0.5329310344827587,0.46706896551724136
AROUSAL_ONLY:PHYSIO,task_dominant,17,22,61,100,0.17,0.22,0.61,0.47325,0.5267499999999999
VA:PHYSIO,emotion_dominant,53,118,239,410,0.12926829268292683,0.28780487804878047,0.5829268292682926,0.44871951219512196,0.551280487804878
VA:PHYSIO,hybrid_emotion_task,98,40,152,290,0.33793103448275863,0.13793103448275862,0.5241379310344828,0.5544827586206897,0.4455172413793103
VA:PHYSIO,task_dominant,15,37,48,100,0.15,0.37,0.48,0.43125,0.56875
